"Id","Watt","currentTime","core0Usage...","core1Usage...","core2Usage...","core3Usage...","totalCpuUsage...","totalMemory","availableMemory","usedMemory","percentageMemory...","buffersMemory","cachedMemory","totalSwap","freeSwap","usedSwap","percentageSwap...","totalExt4Partition","usedExt4Partition","freeExt4Partition","percentageExt4Partition...","totalBootPartition","usedBootPartition","freeBootPartition","percentageBootPartition...","total_IO_read","total_IO_write","Time","Platform","Algorithm","Size","Workload"
20,3.8,"2021-06-29 15:12:11.873569",18.7,17.7,18.9,19.7,50,3979698176,3331002368,527032320,16.3,49692672,627122176,104853504,104853504,0,0,15379681280,12245774336,2457169920,83.3,264289280,30773248,233516032,11.6,588569088,31237120,19.0165676673253,"EDGE","CNN","32",0.25
21,3.8,"2021-06-29 15:13:11.942514",19.4,17.9,15.5,19,0,3979698176,3329822720,528719872,16.3,49782784,626634752,104853504,104853504,0,0,15379681280,12245794816,2457149440,83.3,264289280,30773248,233516032,11.6,588569088,31495168,20.0177167495092,"EDGE","CNN","32",0.25
22,3.8,"2021-06-29 15:14:12.012515",17.2,20.7,20.1,15.6,66.7,3979698176,3329929216,527560704,16.3,49872896,627703808,104853504,104853504,0,0,15379681280,12245811200,2457133056,83.3,264289280,30773248,233516032,11.6,588569088,31724544,21.0188834349314,"EDGE","CNN","32",0.25
23,3.8,"2021-06-29 15:15:12.080498",21.6,19.7,17,15.7,50,3979698176,3329273856,528216064,16.3,49971200,627789824,104853504,104853504,0,0,15379681280,12245839872,2457104384,83.3,264289280,30773248,233516032,11.6,588569088,31990784,22.0200164834658,"EDGE","CNN","32",0.25
24,3.9,"2021-06-29 15:16:12.140664",16.9,20.2,15.9,21.6,66.7,3979698176,3326066688,527867904,16.4,50061312,631369728,104853504,104853504,0,0,15379681280,12245860352,2457083904,83.3,264289280,30773248,233516032,11.6,588569088,32191488,23.0210192521413,"EDGE","CNN","32",0.25
25,3.9,"2021-06-29 15:17:12.161022",28.4,19.2,22.8,12.9,50,3979698176,3323887616,529195008,16.5,50151424,632242176,104853504,104853504,0,0,15379681280,12245876736,2457067520,83.3,264289280,30773248,233516032,11.6,588569088,32707584,24.0213585495949,"EDGE","CNN","32",0.25
26,3.8,"2021-06-29 15:18:12.229203",19.8,23.5,16.1,24.9,66.7,3979698176,3326287872,528306176,16.4,50249728,630743040,104853504,104853504,0,0,15379681280,12245897216,2457047040,83.3,264289280,30773248,233516032,11.6,588569088,32986112,25.0224949002266,"EDGE","CNN","32",0.25
27,3.8,"2021-06-29 15:19:12.265442",21.3,21.4,18.2,23.1,50,3979698176,3324792832,529272832,16.5,50339840,631234560,104853504,104853504,0,0,15379681280,12245909504,2457034752,83.3,264289280,30773248,233516032,11.6,588569088,33240064,26.0230988820394,"EDGE","CNN","32",0.25
28,3.9,"2021-06-29 15:20:12.336168",24.3,21.8,16.3,21.2,66.7,3979698176,3324903424,528629760,16.5,50429952,631787520,104853504,104853504,0,0,15379681280,12245929984,2457014272,83.3,264289280,30773248,233516032,11.6,588569088,33477632,27.02427765131,"EDGE","CNN","32",0.25
29,3.8,"2021-06-29 15:21:12.404380",26.1,19.9,14.6,22.9,33.3,3979698176,3323981824,529027072,16.5,50520064,632332288,104853504,104853504,0,0,15379681280,12245946368,2456997888,83.3,264289280,30773248,233516032,11.6,588569088,33707008,28.0254145185153,"EDGE","CNN","32",0.25
30,3.8,"2021-06-29 15:22:12.473447",27.3,16.9,21,18.7,66.7,3979698176,3325358080,528175104,16.4,50626560,631820288,104853504,104853504,0,0,15379681280,12245966848,2456977408,83.3,264289280,30773248,233516032,11.6,588569088,34186240,29.0265656352043,"EDGE","CNN","32",0.25
31,3.8,"2021-06-29 15:23:12.554823",25.9,21,22.1,15.9,50,3979698176,3324477440,529043456,16.5,50716672,631861248,104853504,104853504,0,0,15379681280,12245987328,2456956928,83.3,264289280,30773248,233516032,11.6,588569088,34612224,30.0279218991598,"EDGE","CNN","32",0.25
32,3.8,"2021-06-29 15:24:12.621616",26.4,22,20,14.7,50,3979698176,3324452864,529068032,16.5,50806784,631885824,104853504,104853504,0,0,15379681280,12246007808,2456936448,83.3,264289280,30773248,233516032,11.6,588569088,35066880,31.029035115242,"EDGE","CNN","32",0.25
33,3.9,"2021-06-29 15:25:12.689660",24.9,22,17.9,19.4,50,3979698176,3324289024,528158720,16.5,50905088,633040896,104853504,104853504,0,0,15379681280,12246032384,2456911872,83.3,264289280,30773248,233516032,11.6,588569088,35513344,32.0301691850026,"EDGE","CNN","32",0.25
34,3.9,"2021-06-29 15:26:12.757498",22.1,21.5,19.9,19.5,50,3979698176,3323564032,529956864,16.5,50995200,631992320,104853504,104853504,0,0,15379681280,12246052864,2456891392,83.3,264289280,30773248,233516032,11.6,588569088,35943424,33.0312998175621,"EDGE","CNN","32",0.25
1,2.9,"2021-06-30 17:15:53.789439",1.1,11.8,1.6,2.1,60,3979698176,3370340352,490635264,15.3,65015808,1229135872,104853504,104853504,0,0,15379681280,12276170752,2426773504,83.5,264289280,30773248,233516032,11.6,1185892864,75650048,0,"EDGE","CNN","32",0.5
2,3.1,"2021-06-30 17:16:53.818926",1.3,2.3,2,1.4,50,3979698176,3368427520,492548096,15.4,65032192,1229139968,104853504,104853504,0,0,15379681280,12276170752,2426773504,83.5,264289280,30773248,233516032,11.6,1185892864,75691008,1.0004914522171,"EDGE","CNN","32",0.5
