"Workload","Size","Algorithm","Platform","MeanMemoryUsage","MeanCPUUsage","MeanAbsMemoryUsage","meanNetworkDelay","meanResponseTime"
0.25,64,"KNN","CLOUD",73.1111111111111,61.1111111111111,5838261930.66667,1.05036919853204,1.51741413158659
0.25,64,"RF","CLOUD",15.6305555555556,22.2222222222222,983359374.222222,0.824984715871674,0.857265661377067
0.25,128,"CNN","CLOUD",68.65,18.5194444444444,11225285973.3333,2.33048892404646,2.3891083725445
0.25,128,"RF","CLOUD",29.2333333333333,15.2777777777778,965732238.222222,1.32592932538007,1.35807708429395
0.5,8,"CNN","CLOUD",9.06944444444444,26.3888888888889,437495011.555556,0.646705403985052,0.688265635917052
0.5,8,"KNN","CLOUD",9.76111111111111,23.6111111111111,498198983.111111,0.389756911947782,0.415047921250557
0.5,8,"RF","CLOUD",16.9333333333333,17.1305555555556,1094543701.33333,2.39374495109977,2.42541277351702
0.5,32,"CNN","CLOUD",8.80833333333333,14.5833333333333,416820565.333333,0.932196468424191,0.974452765282179
0.5,32,"KNN","CLOUD",25.4722222222222,30.5555555555556,1807813518.22222,0.365645153044046,0.496199362925558
0.5,32,"RF","CLOUD",15.8805555555556,16.6666666666667,1009065528.88889,0.33865138817583,0.371334969356753
0.5,64,"CNN","CLOUD",8.97777777777778,27.7777777777778,432698026.666667,0.912561986135953,0.955501714805741
0.5,64,"KNN","CLOUD",75.125,47.2222222222222,6007260501.33333,0.9084631723472,1.38784346328277
0.5,64,"RF","CLOUD",15.6305555555556,12.5,983683299.555556,0.950827294054499,0.98348675306342
0.5,128,"CNN","CLOUD",68.6305555555556,11.1111111111111,11222494208,1.68659004981541,1.74548183287477
0.5,128,"RF","CLOUD",29.4055555555556,20.8333333333333,973967360,2.06835544585991,2.10081289515411
0.75,8,"CNN","CLOUD",9.12285714285714,20,440971966.171429,0.410099548279814,0.452800610686602
0.75,8,"KNN","CLOUD",9.8,22.2222222222222,501363825.777778,0.426440447009966,0.45151880475362
0.75,8,"RF","CLOUD",16.6027777777778,29.1666666666667,1066980124.44444,0.334312421576068,0.367204414612008
0.75,32,"CNN","CLOUD",8.784,4,415540019.2,0.375865317610176,0.417123477928282
0.75,32,"KNN","CLOUD",25.55,26.3888888888889,1810142663.11111,0.38667173133203,0.518724536313639
0.75,32,"RF","CLOUD",15.8722222222222,5.55555555555556,1008496298.66667,0.368785164016111,0.401568542744288
0.75,64,"CNN","CLOUD",8.94033613445378,20.5882352941176,426522847.731092,0.858417312448523,0.904399171342316
0.75,64,"KNN","CLOUD",75.1638888888889,30.5555555555556,6011392682.66667,144.596327314033,145.072324573067
0.75,64,"RF","CLOUD",15.7777777777778,29.1666666666667,996686620.444444,0.825211195040603,0.85755804111885
0.75,128,"CNN","CLOUD",68.5333333333333,16.6666666666667,11207123854.2222,1.80300350566424,1.86223721932545
0.75,128,"RF","CLOUD",28.7055555555556,8.33333333333333,945568426.666667,1.58764630865813,1.61974586033273
1,8,"CNN","CLOUD",9.10277777777778,20.8333333333333,438946702.222222,0.368404021325932,0.411456777709465
1,8,"KNN","CLOUD",9.80277777777778,18.0555555555556,501436188.444444,0.371393786077996,0.396518308031218
1,8,"RF","CLOUD",16.2222222222222,25,1090045952,0.405776794471543,0.439704267721742
1,32,"CNN","CLOUD",8.65714285714286,11.9047619047619,404711131.428571,0.422718070601091,0.464308167772221
1,32,"KNN","CLOUD",25.5944444444444,25,1814058325.33333,0.545986229707111,0.681516894028818
1,32,"RF","CLOUD",15.825,28.2416666666667,1004966115.55556,1.43111426408115,1.46392348645618
1,64,"CNN","CLOUD",8.95277777777778,12.5,427995591.111111,1.0115281637045,1.05702884373462
1,64,"KNN","CLOUD",70.7222222222222,29.1666666666667,5604650097.77778,0.998074795758295,1.46689217807625
1,64,"RF","CLOUD",15.5694444444444,22.2222222222222,1013427427.55556,0.957897343068555,0.989868835859225
1,128,"CNN","CLOUD",68.5972222222222,29.6305555555556,11215526343.1111,1.22731952455525,1.287231733879
1,128,"RF","CLOUD",28.6777777777778,13.8888888888889,945170659.555556,1.29473296649835,1.32726820317458
