imageCounter,currentTime,meanNetworkDelay,meanResponseTime
62,2021-05-24 15:18:06.527426,1.7868491334299887,1.8163801085564397
63,2021-05-24 15:18:08.537676,1.80077578529479,1.8302356175013952
64,2021-05-24 15:18:08.716604,1.7985532954335213,1.8279355615377426
65,2021-05-24 15:18:09.722665,1.7963983902564415,1.8257014127878042
66,2021-05-24 15:18:10.744973,1.7943921920024988,1.8236097819877393
67,2021-05-24 15:18:11.726137,1.792370764177237,1.821532117786692
68,2021-05-24 15:18:12.745616,1.790422565796796,1.819503500181086
69,2021-05-24 15:18:14.783300,1.803116342295771,1.8322259550509246
70,2021-05-24 15:18:14.989435,1.8011128425598144,1.8301761559077672
71,2021-05-24 15:18:15.966987,1.7991521727870887,1.8281462091795155
72,2021-05-24 15:18:16.966071,1.7972849938604567,1.8262239429685805
73,2021-05-24 15:18:17.971707,1.7954559881393224,1.8243437564536318
74,2021-05-24 15:18:19.009564,1.793671955933442,1.8225154328990627
75,2021-05-24 15:18:19.981009,1.791876827875773,1.820670067469279
76,2021-05-24 15:18:22.007970,1.8034486958855076,1.8322094522024457
77,2021-05-24 15:18:22.179702,1.8015800760937977,1.8302923951830183
78,2021-05-24 15:18:23.194146,1.7997685609719691,1.8284363654943614
79,2021-05-24 15:18:24.213721,1.7980436644976652,1.8267440463923201
80,2021-05-24 15:18:25.196266,1.7963528424501418,1.82501582801342
81,2021-05-24 15:18:26.287968,1.795700232187907,1.8243165457690205
82,2021-05-24 15:18:27.230186,1.7941210706059525,1.8227002736998767
83,2021-05-24 15:18:28.279202,1.793287986732391,1.8218189463557968
84,2021-05-24 15:18:29.246878,1.7917224339076452,1.8202060688109625
85,2021-05-24 15:18:30.316612,1.7910406505360323,1.8194896389456356
86,2021-05-24 15:18:31.327549,1.7903450699739678,1.8187442851621052
87,2021-05-24 15:18:32.252863,1.7888625216210026,1.8172197067874603
88,2021-05-24 15:18:33.251754,1.7874687774614855,1.8157674345103176
89,2021-05-24 15:18:34.273328,1.7860688279184063,1.8144005362907152
90,2021-05-24 15:18:35.356829,1.785578680038452,1.813862551583184
91,2021-05-24 15:18:36.303335,1.7844308942228884,1.8126674301021701
92,2021-05-24 15:18:37.278133,1.7830682837444802,1.811259616976199
93,2021-05-24 15:18:38.297189,1.7817302929457797,1.8098718991843603
94,2021-05-24 15:18:39.317957,1.7805845331638417,1.8086924426099087
95,2021-05-24 15:18:40.328825,1.7793654366543419,1.8074241186443127
96,2021-05-24 15:18:41.307766,1.7781607856353123,1.8061768636107445
97,2021-05-24 15:18:42.327356,1.7769549114187968,1.804952943447939
98,2021-05-24 15:18:44.337246,1.786074455903501,1.814032914687176
99,2021-05-24 15:18:44.525069,1.784817079100946,1.8128007542003284
100,2021-05-24 15:18:45.535971,1.783592185974121,1.8115413665771485
101,2021-05-24 15:18:46.523181,1.7823980657180938,1.8103066010050255
102,2021-05-24 15:18:47.548850,1.7812418914308734,1.8091207906311633
103,2021-05-24 15:18:48.539428,1.780100720600017,1.8079472236262941
104,2021-05-24 15:18:49.548744,1.7789838978877435,1.8067950858519628
105,2021-05-24 15:18:50.574070,1.7778591383071172,1.8056377524421328
106,2021-05-24 15:18:51.575639,1.7767845752104274,1.8045444780925535
107,2021-05-24 15:18:52.586759,1.7757407571667823,1.8034607094024944
108,2021-05-24 15:18:53.603335,1.7746999550748754,1.8023897100377966
109,2021-05-24 15:18:54.603601,1.7736433077295986,1.8013780467007139
110,2021-05-24 15:18:55.613041,1.7726566444743763,1.8003590302033858
