imageCounter,currentTime,meanNetworkDelay,meanResponseTime
378,2021-05-29 14:18:06.628522,3.1180660611107234,3.147315976480958
379,2021-05-29 14:18:06.833599,3.1180370539662707,3.147306146596541
380,2021-05-29 14:18:07.036269,3.1180064301741752,3.14727484740709
381,2021-05-29 14:18:07.233630,3.117958635170003,3.1472237773454723
382,2021-05-29 14:18:07.458608,3.117946366989176,3.147209942652917
383,2021-05-29 14:18:07.671200,3.117925298431835,3.147187629505486
384,2021-05-29 14:18:07.858719,3.1178873231013617,3.1471464900920787
385,2021-05-29 14:18:08.063052,3.1178523850131343,3.147108199379661
386,2021-05-29 14:18:08.279663,3.1178313215779516,3.147084024903688
387,2021-05-29 14:18:08.470710,3.1178145180684957,3.1470629361864826
388,2021-05-29 14:18:08.653331,3.11777468501907,3.147022461153797
389,2021-05-29 14:18:08.853746,3.1177348906705804,3.147006018915642
390,2021-05-29 14:18:09.036609,3.1177028631552672,3.146976379859142
391,2021-05-29 14:18:09.253087,3.1176935742273355,3.1469633664621415
392,2021-05-29 14:18:09.459898,3.1176874272677364,3.1469552285817204
393,2021-05-29 14:18:09.649834,3.117645455984062,3.14691252380837
394,2021-05-29 14:18:09.844226,3.11761513518803,3.146881160397215
395,2021-05-29 14:18:10.053965,3.1176012316836585,3.1468667688249035
396,2021-05-29 14:18:10.248156,3.1175580217380716,3.1468213495582043
397,2021-05-29 14:18:10.439927,3.1175240761687233,3.1467835176501526
398,2021-05-29 14:18:10.635732,3.117506503459796,3.1467628580840987
399,2021-05-29 14:18:10.846662,3.117476037271638,3.1467532304892862
400,2021-05-29 14:18:11.041381,3.117440814375877,3.146716691851616
401,2021-05-29 14:18:11.246535,3.117406403929218,3.1466802040537694
402,2021-05-29 14:18:11.456138,3.1173902411959062,3.1466658554266935
403,2021-05-29 14:18:11.649523,3.117373255878761,3.1466488217005955
404,2021-05-29 14:18:11.829375,3.1173303929886016,3.146603540028676
405,2021-05-29 14:18:12.013826,3.1172833107135913,3.1465556327207587
406,2021-05-29 14:18:12.228625,3.1172702418172302,3.146541508547778
407,2021-05-29 14:18:12.430893,3.1172380599694405,3.146510118934388
408,2021-05-29 14:18:12.640160,3.1172309500329636,3.1464993550496945
409,2021-05-29 14:18:12.830187,3.1171978365238253,3.1464891247178057
410,2021-05-29 14:18:13.013947,3.117166023138093,3.1464571691140897
411,2021-05-29 14:18:13.211956,3.1171619538263102,3.146451879881884
412,2021-05-29 14:18:13.395284,3.117129934644236,3.1464211350505793
413,2021-05-29 14:18:13.604451,3.117107329010675,3.1463960002178717
414,2021-05-29 14:18:13.823439,3.117108186661909,3.1463935179410925
415,2021-05-29 14:18:14.027405,3.1170819604253195,3.146366222795234
416,2021-05-29 14:18:14.232458,3.117049609239285,3.1463326869102626
417,2021-05-29 14:18:14.429880,3.1170335787949233,3.1463166649678915
418,2021-05-29 14:18:14.616075,3.1170138029390544,3.146294719864877
419,2021-05-29 14:18:14.829380,3.116990764840975,3.146293011940749
420,2021-05-29 14:18:15.028124,3.116979656333015,3.146281544935136
421,2021-05-29 14:18:15.225133,3.1169855441729983,3.1462847733440986
422,2021-05-29 14:18:15.407828,3.1169783673580223,3.14627407399399
423,2021-05-29 14:18:15.587315,3.1169422693004565,3.1462378084800484
424,2021-05-29 14:18:15.788773,3.11693093855426,3.1462242749502076
425,2021-05-29 14:18:15.993710,3.116910556344425,3.1462014596602494
426,2021-05-29 14:18:16.176770,3.116871729703017,3.146160172744536
427,2021-05-29 14:18:16.367343,3.1168406573614975,3.146124563954195
428,2021-05-29 14:18:16.572760,3.1168027665013467,3.1460830948063148
429,2021-05-29 14:18:16.788583,3.1167670318852494,3.1460663160799824
430,2021-05-29 14:18:16.972221,3.1167399877725646,3.1460417087688004
431,2021-05-29 14:18:17.160340,3.1167271004475463,3.146029402650979
432,2021-05-29 14:18:17.360492,3.1167156447966895,3.1460130904559738
433,2021-05-29 14:18:17.564231,3.1167061444518196,3.1460009849099033
434,2021-05-29 14:18:17.758443,3.116672293381757,3.1459640824849706
435,2021-05-29 14:18:17.945121,3.116643401398056,3.1459309512171254
436,2021-05-29 14:18:18.151940,3.1166242000159867,3.1459079948040323
437,2021-05-29 14:18:18.349638,3.11658451486234,3.1458648200438826
438,2021-05-29 14:18:18.539570,3.1165583248007787,3.145834444320365
