"Id","Watt","currentTime","core0Usage...","core1Usage...","core2Usage...","core3Usage...","totalCpuUsage...","totalMemory","availableMemory","usedMemory","percentageMemory...","buffersMemory","cachedMemory","totalSwap","freeSwap","usedSwap","percentageSwap...","totalExt4Partition","usedExt4Partition","freeExt4Partition","percentageExt4Partition...","totalBootPartition","usedBootPartition","freeBootPartition","percentageBootPartition...","total_IO_read","total_IO_write","Time","Platform","Algorithm","Size","Workload"
9,4.8,"2021-07-08 18:56:05.750853",47.4,49.9,46.2,46.3,0,3979698176,3196182528,657903616,19.7,77987840,1212731392,104853504,104853504,0,0,15379681280,10904731648,3798212608,74.2,264289280,30773248,233516032,11.6,1203063296,117462016,8.00679811636607,"EDGE","CNN","128",0.25
10,4.7,"2021-07-08 18:57:05.777776",50.6,48.3,46.1,44.6,50,3979698176,3194269696,659808256,19.7,78041088,1212751872,104853504,104853504,0,0,15379681280,10904752128,3798192128,74.2,264289280,30773248,233516032,11.6,1203063296,117720064,9.00724683205287,"EDGE","CNN","128",0.25
11,4.7,"2021-07-08 18:58:05.844335",50.1,46.1,48.4,44.7,100,3979698176,3194785792,660344832,19.7,78082048,1211727872,104853504,104853504,0,0,15379681280,10904768512,3798175744,74.2,264289280,30773248,233516032,11.6,1203063296,117982208,10.0083561499914,"EDGE","CNN","128",0.25
12,4.7,"2021-07-08 18:59:05.915911",39.4,40.8,41.2,36.5,50,3979698176,3191984128,663183360,19.8,78114816,1211715584,104853504,104853504,0,0,15379681280,10904793088,3798151168,74.2,264289280,30773248,233516032,11.6,1203063296,118215680,11.0095490813255,"EDGE","CNN","128",0.25
13,4.7,"2021-07-08 19:00:05.984404",46.7,44.8,50.3,51.1,50,3979698176,3189518336,664035328,19.9,78163968,1213353984,104853504,104853504,0,0,15379681280,10904817664,3798126592,74.2,264289280,30773248,233516032,11.6,1203063296,118526976,12.0106906334559,"EDGE","CNN","128",0.25
14,4.7,"2021-07-08 19:01:06.056519",46.3,43.7,44,43.1,66.7,3979698176,3191050240,665153536,19.8,78245888,1210724352,104853504,104853504,0,0,15379681280,10904838144,3798106112,74.2,264289280,30773248,233516032,11.6,1203063296,119067648,13.0118925491969,"EDGE","CNN","128",0.25
15,4.7,"2021-07-08 19:02:06.130360",45,39.6,41.9,42.2,50,3979698176,3187531776,669794304,19.9,78331904,1209622528,104853504,104853504,0,0,15379681280,10904858624,3798085632,74.2,264289280,30773248,233516032,11.6,1203063296,119362560,14.0131232301394,"EDGE","CNN","128",0.25
16,4.4,"2021-07-08 19:03:06.165264",41.8,40.8,42.4,36.3,50,3979698176,3182415872,674369536,20,78393344,1210171392,104853504,104853504,0,0,15379681280,10904866816,3798077440,74.2,264289280,30773248,233516032,11.6,1203063296,119596032,15.0137049635251,"EDGE","CNN","128",0.25
17,4.5,"2021-07-08 19:04:06.232280",42.3,41,40.6,43.4,50,3979698176,3176538112,680247296,20.2,78446592,1210191872,104853504,104853504,0,0,15379681280,10904887296,3798056960,74.2,264289280,30773248,233516032,11.6,1203063296,119866368,16.0148218989372,"EDGE","CNN","128",0.25
18,4.6,"2021-07-08 19:05:06.304948",45,40.7,39.7,46.9,100,3979698176,3176394752,679333888,20.2,78487552,1211265024,104853504,104853504,0,0,15379681280,10904903680,3798040576,74.2,264289280,30773248,233516032,11.6,1203063296,120144896,17.0160330335299,"EDGE","CNN","128",0.25
19,4.5,"2021-07-08 19:06:06.380364",40.8,39.7,43.6,45.5,100,3979698176,3176615936,680169472,20.2,78516224,1210228736,104853504,104853504,0,0,15379681280,10904924160,3798020096,74.2,264289280,30773248,233516032,11.6,1203063296,120419328,18.017289964358,"EDGE","CNN","128",0.25
20,4.6,"2021-07-08 19:07:06.408525",44.7,45.6,44.7,42.8,66.7,3979698176,3174957056,681828352,20.2,78581760,1210249216,104853504,104853504,0,0,15379681280,10904940544,3798003712,74.2,264289280,30773248,233516032,11.6,1203063296,120656896,19.0177593151728,"EDGE","CNN","128",0.25
21,4.6,"2021-07-08 19:08:06.442750",46.5,46.3,46.5,42.7,50,3979698176,3169656832,683769856,20.4,78626816,1213566976,104853504,104853504,0,0,15379681280,10904952832,3797991424,74.2,264289280,30773248,233516032,11.6,1203063296,120919040,20.0183297316233,"EDGE","CNN","128",0.25
22,4.7,"2021-07-08 19:09:06.510144",49.1,47.7,47.5,45.5,100,3979698176,3171762176,681664512,20.3,78667776,1213583360,104853504,104853504,0,0,15379681280,10904973312,3797970944,74.2,264289280,30773248,233516032,11.6,1203063296,121172992,21.0194529652596,"EDGE","CNN","128",0.25
23,4.7,"2021-07-08 19:10:06.591327",51.7,46.1,50,43.5,75,3979698176,3173433344,680001536,20.3,78704640,1213587456,104853504,104853504,0,0,15379681280,10904981504,3797962752,74.2,264289280,30773248,233516032,11.6,1203063296,121443328,22.0208060145378,"EDGE","CNN","128",0.25
24,4.7,"2021-07-08 19:11:06.660796",47.8,49.5,50.9,44.5,66.7,3979698176,3172732928,680701952,20.3,78757888,1213607936,104853504,104853504,0,0,15379681280,10905001984,3797942272,74.2,264289280,30773248,233516032,11.6,1203063296,121701376,23.0219638307889,"EDGE","CNN","128",0.25
25,4.7,"2021-07-08 19:12:06.717160",50.3,43.9,50.7,44.7,66.7,3979698176,3173449728,678936576,20.3,78790656,1214681088,104853504,104853504,0,0,15379681280,10905022464,3797921792,74.2,264289280,30773248,233516032,11.6,1203063296,121943040,24.0229032317797,"EDGE","CNN","128",0.25
26,4.7,"2021-07-08 19:13:06.799588",48.4,47.5,48,47.6,66.7,3979698176,3173298176,679084032,20.3,78839808,1214705664,104853504,104853504,0,0,15379681280,10905042944,3797901312,74.2,264289280,30773248,233516032,11.6,1203063296,122217472,25.0242770314217,"EDGE","CNN","128",0.25
27,4.6,"2021-07-08 19:14:06.868662",47,46.1,48.7,49.6,33.3,3979698176,3173056512,679325696,20.3,78884864,1214722048,104853504,104853504,0,0,15379681280,10905059328,3797884928,74.2,264289280,30773248,233516032,11.6,1203063296,122467328,26.02542826732,"EDGE","CNN","128",0.25
28,4.7,"2021-07-08 19:15:06.939940",49.4,46.3,47.3,50.9,100,3979698176,3176390656,677572608,20.2,78913536,1213227008,104853504,104853504,0,0,15379681280,10905088000,3797856256,74.2,264289280,30773248,233516032,11.6,1203063296,122725376,27.0266162316004,"EDGE","CNN","128",0.25
29,4.7,"2021-07-08 19:16:07.009146",48.7,45.4,50.7,46.3,66.7,3979698176,3176267776,677163008,20.2,78966784,1213784064,104853504,104853504,0,0,15379681280,10905108480,3797835776,74.2,264289280,30773248,233516032,11.6,1203063296,122975232,28.0277696649234,"EDGE","CNN","128",0.25
30,4.7,"2021-07-08 19:17:07.078652",50,48.8,50.4,44.7,66.7,3979698176,3178962944,674467840,20.1,79028224,1213935616,104853504,104853504,0,0,15379681280,10905137152,3797807104,74.2,264289280,30773248,233516032,11.6,1203128832,123593728,29.0289280970891,"EDGE","CNN","128",0.25
31,4.7,"2021-07-08 19:18:07.150817",49.4,48.8,45.5,46.4,50,3979698176,3178844160,674619392,20.1,79056896,1213865984,104853504,104853504,0,0,15379681280,10905153536,3797790720,74.2,264289280,30773248,233516032,11.6,1203128832,123843584,30.0301308472951,"EDGE","CNN","128",0.25
32,4.7,"2021-07-08 19:19:07.221322",50.1,45.9,48.2,48.9,66.7,3979698176,3180453888,673005568,20.1,79085568,1213890560,104853504,104853504,0,0,15379681280,10905174016,3797770240,74.2,264289280,30773248,233516032,11.6,1203128832,124105728,31.0313059329987,"EDGE","CNN","128",0.25
33,4.7,"2021-07-08 19:20:07.291071",49.2,46.6,47,49.5,0,3979698176,3182243840,671211520,20,79151104,1213919232,104853504,104853504,0,0,15379681280,10905194496,3797749760,74.2,264289280,30773248,233516032,11.6,1203128832,124388352,32.0324684143066,"EDGE","CNN","128",0.25
34,4.7,"2021-07-08 19:21:07.362151",50.5,47.4,48.7,44.3,50,3979698176,3182399488,671064064,20,79183872,1213931520,104853504,104853504,0,0,15379681280,10905214976,3797729280,74.2,264289280,30773248,233516032,11.6,1203128832,124630016,33.0336530804634,"EDGE","CNN","128",0.25
1,3.1,"2021-07-08 20:10:36.402468",10.1,2.9,2.8,2.3,60,3979698176,3329232896,531693568,16.3,79581184,1206996992,104853504,104853504,0,0,15379681280,10905288704,3797655552,74.2,264289280,30773248,233516032,11.6,1203395072,128472064,0,"EDGE","CNN","128",0.5
2,3.3,"2021-07-08 20:11:36.464762",3.2,2.8,2.8,1.2,50,3979698176,3314561024,546369536,16.7,79581184,1206992896,104853504,104853504,0,0,15379681280,10905288704,3797655552,74.2,264289280,30773248,233516032,11.6,1203395072,128513024,1.00103823343913,"EDGE","CNN","128",0.5
3,4.8,"2021-07-08 20:12:36.537184",38,38.9,41.7,37.7,100,3979698176,3240144896,616067072,18.6,79618048,1211666432,104853504,104853504,0,0,15379681280,10905300992,3797643264,74.2,264289280,30773248,233516032,11.6,1203395072,128812032,2.00224526723226,"EDGE","CNN","128",0.5
4,4.4,"2021-07-08 20:13:36.608013",35.5,38.6,39.2,34.8,50,3979698176,3248857088,607354880,18.4,79667200,1211666432,104853504,104853504,0,0,15379681280,10905305088,3797639168,74.2,264289280,30773248,233516032,11.6,1203395072,129053696,3.00342574914296,"EDGE","CNN","128",0.5
5,4.2,"2021-07-08 20:14:36.662884",23.5,25.8,29.8,24.1,50,3979698176,3246743552,609996800,18.4,79687680,1211228160,104853504,104853504,0,0,15379681280,10905337856,3797606400,74.2,264289280,30773248,233516032,11.6,1203395072,129307648,4.0043402671814,"EDGE","CNN","128",0.5
6,4.1,"2021-07-08 20:15:36.677778",25.1,25.2,28.2,24.7,50,3979698176,3246637056,610095104,18.4,79740928,1211174912,104853504,104853504,0,0,15379681280,10905329664,3797614592,74.2,264289280,30773248,233516032,11.6,1203395072,129582080,5.00458850065867,"EDGE","CNN","128",0.5
7,4.1,"2021-07-08 20:16:36.744698",23.3,25.4,29.7,23.4,33.3,3979698176,3245993984,610205696,18.4,79794176,1211719680,104853504,104853504,0,0,15379681280,10905350144,3797594112,74.2,264289280,30773248,233516032,11.6,1203395072,129876992,6.00570383469264,"EDGE","CNN","128",0.5
8,4.2,"2021-07-08 20:17:36.820541",23.9,27.9,27.8,23.6,100,3979698176,3245858816,610418688,18.4,79847424,1211650048,104853504,104853504,0,0,15379681280,10905350144,3797594112,74.2,264289280,30773248,233516032,11.6,1203395072,130364416,7.00696788231532,"EDGE","CNN","128",0.5
9,4.1,"2021-07-08 20:18:36.890371",25.3,26,26.4,25.5,0,3979698176,3245174784,611565568,18.5,79896576,1211195392,104853504,104853504,0,0,15379681280,10905358336,3797585920,74.2,264289280,30773248,233516032,11.6,1203395072,130700288,8.00813171863556,"EDGE","CNN","128",0.5
10,4.1,"2021-07-08 20:19:36.957622",23.7,26.3,26.3,26.9,50,3979698176,3245879296,610856960,18.4,79941632,1211277312,104853504,104853504,0,0,15379681280,10905378816,3797565440,74.2,264289280,30773248,233516032,11.6,1203395072,130937856,9.00925256808599,"EDGE","CNN","128",0.5
11,4.2,"2021-07-08 20:20:37.008127",24.7,23.6,29.1,25.9,50,3979698176,3244892160,611323904,18.5,80011264,1211740160,104853504,104853504,0,0,15379681280,10905378816,3797565440,74.2,264289280,30773248,233516032,11.6,1203395072,131232768,10.0100943168004,"EDGE","CNN","128",0.5
12,4.2,"2021-07-08 20:21:37.077207",24.4,25.1,30.2,23.8,66.7,3979698176,3244167168,612028416,18.5,80052224,1211768832,104853504,104853504,0,0,15379681280,10905391104,3797553152,74.2,264289280,30773248,233516032,11.6,1203395072,131466240,11.0112456520398,"EDGE","CNN","128",0.5
13,4.1,"2021-07-08 20:22:37.092260",23.5,28,27.9,24.3,0,3979698176,3244142592,612560896,18.5,80080896,1211207680,104853504,104853504,0,0,15379681280,10905391104,3797553152,74.2,264289280,30773248,233516032,11.6,1203395072,131781632,12.0114965319633,"EDGE","CNN","128",0.5
14,4.1,"2021-07-08 20:23:37.161054",25.8,25.5,28.4,23.2,66.7,3979698176,3244756992,611942400,18.5,80105472,1211285504,104853504,104853504,0,0,15379681280,10905407488,3797536768,74.2,264289280,30773248,233516032,11.6,1203395072,132019200,13.0126430988312,"EDGE","CNN","128",0.5
15,4.1,"2021-07-08 20:24:37.188105",25.1,27.4,27.5,23.3,33.3,3979698176,3243958272,612212736,18.5,80134144,1211760640,104853504,104853504,0,0,15379681280,10905411584,3797532672,74.2,264289280,30773248,233516032,11.6,1203395072,132281344,14.0130939523379,"EDGE","CNN","128",0.5
