"imageCounter","currentTime","meanNetworkDelay","meanResponseTime","classificationTime","Tempo","ClassificationTime","Platform","Algorithm","Size","Workload"
80,"2021-06-30 17:17:17.634204",48.4974209785461,48.6493363291025,"0:00:00.137190",0.191295746962229,0.13719,"EDGE","CNN","32",0.5
81,"2021-06-30 17:17:17.773396",48.3148260999609,48.4665637428378,"0:00:00.137259",0.193615615367889,0.137259,"EDGE","CNN","32",0.5
82,"2021-06-30 17:17:17.912957",48.1321220572402,48.2836905659699,"0:00:00.137599",0.195941630999247,0.137599,"EDGE","CNN","32",0.5
83,"2021-06-30 17:17:18.064271",47.949332205646,48.1008770379675,"0:00:00.149338",0.198463531335195,0.149338,"EDGE","CNN","32",0.5
84,"2021-06-30 17:17:18.203926",47.7666173009645,47.9180006725447,"0:00:00.137718",0.200791116555532,0.137718,"EDGE","CNN","32",0.5
85,"2021-06-30 17:17:18.343248",47.5837751136107,47.7349972724915,"0:00:00.137414",0.203113146622976,0.137414,"EDGE","CNN","32",0.5
86,"2021-06-30 17:17:18.483377",47.400966885478,47.5520411203074,"0:00:00.138237",0.205448631445567,0.138237,"EDGE","CNN","32",0.5
87,"2021-06-30 17:17:18.633936",47.2180609456424,47.3691107623879,"0:00:00.148692",0.207957947254181,0.148692,"EDGE","CNN","32",0.5
88,"2021-06-30 17:17:18.773786",47.0351343913512,47.186037900773,"0:00:00.137911",0.21028878291448,0.137911,"EDGE","CNN","32",0.5
89,"2021-06-30 17:17:18.912824",46.8522513662831,47.0030025953657,"0:00:00.137086",0.212606080373128,0.137086,"EDGE","CNN","32",0.5
90,"2021-06-30 17:17:19.061608",46.6692549758487,46.8199656751421,"0:00:00.146803",0.215085816383362,0.146803,"EDGE","CNN","32",0.5
91,"2021-06-30 17:17:19.202176",46.4864253473806,46.637006018188,"0:00:00.138612",0.217428616682688,0.138612,"EDGE","CNN","32",0.5
92,"2021-06-30 17:17:19.342371",46.303526300451,46.4539761050888,"0:00:00.138279",0.219765198230743,0.138279,"EDGE","CNN","32",0.5
93,"2021-06-30 17:17:19.482433",46.1206256497291,46.2709459720119,"0:00:00.138125",0.222099566459656,0.138125,"EDGE","CNN","32",0.5
94,"2021-06-30 17:17:19.633121",45.9376908616817,46.0879970839683,"0:00:00.148732",0.224611032009125,0.148732,"EDGE","CNN","32",0.5
95,"2021-06-30 17:17:19.772500",45.7548796754134,45.9050533871902,"0:00:00.137404",0.226934015750885,0.137404,"EDGE","CNN","32",0.5
96,"2021-06-30 17:17:19.912086",45.5721121107539,45.722159139812,"0:00:00.137746",0.229260448614756,0.137746,"EDGE","CNN","32",0.5
97,"2021-06-30 17:17:20.051408",45.3892469037439,45.5391671116819,"0:00:00.137480",0.231582482655843,0.13748,"EDGE","CNN","32",0.5
98,"2021-06-30 17:17:20.202766",45.2064156045719,45.3563332946933,"0:00:00.149407",0.2341051141421,0.149407,"EDGE","CNN","32",0.5
99,"2021-06-30 17:17:20.342281",45.023735891689,45.1735318236881,"0:00:00.137597",0.236430366834005,0.137597,"EDGE","CNN","32",0.5
100,"2021-06-30 17:17:20.480967",44.8411119961739,44.9907805562019,"0:00:00.136794",0.238741799195608,0.136794,"EDGE","CNN","32",0.5
101,"2021-06-30 17:17:20.629746",44.6584904170272,44.808131468178,"0:00:00.146617",0.241221447785695,0.146617,"EDGE","CNN","32",0.5
102,"2021-06-30 17:17:20.770322",44.4760053625294,44.625540693601,"0:00:00.138589",0.243564383188883,0.138589,"EDGE","CNN","32",0.5
103,"2021-06-30 17:17:20.909651",44.2935406096931,44.4429613664312,"0:00:00.137473",0.245886532465617,0.137473,"EDGE","CNN","32",0.5
104,"2021-06-30 17:17:21.051735",44.1110551380194,44.26038898413,"0:00:00.140117",0.248254597187042,0.140117,"EDGE","CNN","32",0.5
105,"2021-06-30 17:17:21.202968",43.9285648028056,44.07790093649,"0:00:00.149302",0.250775146484375,0.149302,"EDGE","CNN","32",0.5
106,"2021-06-30 17:17:21.343039",43.7461442654988,43.8953772535864,"0:00:00.138143",0.253109665711721,0.138143,"EDGE","CNN","32",0.5
107,"2021-06-30 17:17:21.482273",43.5636397544469,43.7127639757139,"0:00:00.137332",0.255430233478546,0.137332,"EDGE","CNN","32",0.5
108,"2021-06-30 17:17:21.621985",43.3811322009122,43.5301541774361,"0:00:00.137821",0.257758764425914,0.137821,"EDGE","CNN","32",0.5
109,"2021-06-30 17:17:21.776469",43.1985083173174,43.3475412972477,"0:00:00.149957",0.26033349831899,0.149957,"EDGE","CNN","32",0.5
110,"2021-06-30 17:17:21.916420",43.0160308621146,43.1649665702473,"0:00:00.138064",0.262666014830271,0.138064,"EDGE","CNN","32",0.5
111,"2021-06-30 17:17:22.055372",42.8334788975415,42.9823101748217,"0:00:00.137076",0.264981881777445,0.137076,"EDGE","CNN","32",0.5
112,"2021-06-30 17:17:22.194785",42.6509497442416,42.7996824724334,"0:00:00.137522",0.267305433750153,0.137522,"EDGE","CNN","32",0.5
113,"2021-06-30 17:17:22.345425",42.4683445765909,42.6170795849994,"0:00:00.148728",0.269816096623739,0.148728,"EDGE","CNN","32",0.5
114,"2021-06-30 17:17:22.485837",42.2858722147189,42.4345191654406,"0:00:00.138432",0.272156298160553,0.138432,"EDGE","CNN","32",0.5
115,"2021-06-30 17:17:22.624705",42.103422913344,42.2519702994305,"0:00:00.136932",0.274470766385396,0.136932,"EDGE","CNN","32",0.5
116,"2021-06-30 17:17:22.773340",41.920939311899,42.0694729932423,"0:00:00.146655",0.276948014895121,0.146655,"EDGE","CNN","32",0.5
117,"2021-06-30 17:17:22.913593",41.7385261975802,41.8869742613572,"0:00:00.138246",0.279285566012065,0.138246,"EDGE","CNN","32",0.5
118,"2021-06-30 17:17:23.052194",41.5560736999673,41.704424417625,"0:00:00.136701",0.281595583756765,0.136701,"EDGE","CNN","32",0.5
119,"2021-06-30 17:17:23.192126",41.3735756513451,41.5218415340456,"0:00:00.137970",0.283927782376607,0.13797,"EDGE","CNN","32",0.5
120,"2021-06-30 17:17:23.343636",41.1910212496916,41.339300018549,"0:00:00.149543",0.286452949047089,0.149543,"EDGE","CNN","32",0.5
121,"2021-06-30 17:17:23.482639",41.0085846885177,41.1567730036649,"0:00:00.137046",0.288769666353861,0.137046,"EDGE","CNN","32",0.5
122,"2021-06-30 17:17:23.622544",40.8261063001195,40.9742127363799,"0:00:00.137927",0.291101415952047,0.137927,"EDGE","CNN","32",0.5
123,"2021-06-30 17:17:23.761399",40.643677054382,40.7916950094021,"0:00:00.136956",0.293415665626526,0.136956,"EDGE","CNN","32",0.5
124,"2021-06-30 17:17:23.912244",40.4611700580966,40.6091969416987,"0:00:00.148809",0.295929749806722,0.148809,"EDGE","CNN","32",0.5
125,"2021-06-30 17:17:24.051240",40.2787660808563,40.4267077407837,"0:00:00.137096",0.298246347904205,0.137096,"EDGE","CNN","32",0.5
126,"2021-06-30 17:17:24.190444",40.0963658775602,40.2442248416325,"0:00:00.137253",0.300566414992015,0.137253,"EDGE","CNN","32",0.5
127,"2021-06-30 17:17:24.339942",39.9139771799403,40.0618356494453,"0:00:00.147537",0.303058048089345,0.147537,"EDGE","CNN","32",0.5
128,"2021-06-30 17:17:24.480313",39.7316836323589,39.8794710282236,"0:00:00.138500",0.305397566159566,0.1385,"EDGE","CNN","32",0.5
129,"2021-06-30 17:17:24.619213",39.5493753510852,39.6970815362856,"0:00:00.137044",0.30771256685257,0.137044,"EDGE","CNN","32",0.5
130,"2021-06-30 17:17:24.759912",39.3671085467705,39.5147482083394,"0:00:00.138794",0.310057548681895,0.138794,"EDGE","CNN","32",0.5
131,"2021-06-30 17:17:24.911470",39.1847415534595,39.3323980870138,"0:00:00.149579",0.312583514054616,0.149579,"EDGE","CNN","32",0.5
132,"2021-06-30 17:17:25.050997",39.0024020996961,39.1499846884699,"0:00:00.137631",0.31490896542867,0.137631,"EDGE","CNN","32",0.5
